Title,Location,Description,Link
"Software Developer, Early Career","Google3,981 reviewsMontréal, QC","Please complete your application before December 10, 2021. By applying to this position, you will be considered for all potential Software Engineering opportunities. Roles may vary by location and will be discussed in more detail with your recruiter after completion of onsite interviews.
This program is intended for candidates with 1-3 years of industry experience.

Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Waterloo, ON, Canada; Montreal, QC, Canada.
Minimum qualifications:

Bachelor's degree or equivalent practical experience
1 year of software development experience
Experience programming with two or more of the following languages: C, C++, C#, Java, JavaScript, Go and/or Python.
Experience working one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Preferred qualifications:

Experience developing accessible technologies.
Working proficiency in verbal and written English.
Ability and interest to learn other coding languages as needed
Ability to start in 2021 or 2022.
About the job
Google's software developers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for software developers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software developer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our software developers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

Google aspires to be an organization that reflects the globally diverse audience that our products and technology serve. We believe that in addition to hiring the best talent, a diversity of perspectives, ideas, and cultures leads to the creation of better products and services.

Google is a software development company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, software developers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google software developers are changing the world one technological achievement after another.
Responsibilities
Design, develop, test, deploy, maintain, and improve software.
Manage individual project priorities, deadlines, and deliverables.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",https://ca.indeed.com/rc/clk?jk=b37966a7cebfdbc5&fccid=a5b4499d9e91a5c6&vjs=3
Software Developer/Programmer,"Live Auction GroupPort Coquitlam, BCRemote","Full-Stack Developer (C#, JS/HTML/CSS, MSSQL, AWS)We seek a self-driven individual who is an effective independent worker and problem solver. This position requires someone who is willing to work with the team to incrementally modernize and migrate our legacy code & systems, building new systems, all while simultaneously handling feature requests (on new and existing systems).This position will be 100% remote work (work from home). We prefer individuals who live in BC Canada (especially the Lower Mainland or Vancouver Island) .We are specifically seeking someone with intermediate/expert experience in modern Angular (or possibly Vue.js). Someone comfortable getting a new project off the ground, efficiently, and using best practices.The position will initially be focused on constructing an inventory/etc management web app and migrating existing functionality into it from an existing project (which currently uses polymer.js).Existing APIs (in C#) will be reused (and improved upon).What you will need to be successful in this role:Working with the team to analyze and design projects based on existing and future requirements/goals.Understanding the limitations imposed by an existing application stack & codebase, and maintaining those systems. In addition to writing new code the candidate should enjoy the process of improving existing code.Appreciating clean, easy to understand code and modular systems - and having the corresponding drive to improve any code that one touches.Willing to be responsible for components across the stack (db/servers/api/services/web-app/etc).Experience and confidence with C# (ASP.NET & .NET Core), and JS.Significant experience with modern Angular (or possibly Vue.js).Comfort with HTML & CSS.Experienced with SQL (especially MSSQL), database concepts and practices, and designing & debugging and optimizing queries/procedures.Experience with AWS (especially RDS and EC2/ECS) in production environments is useful.Strong critical thinking skills, and a confident problem solver. The candidate is at ease when tracking down bugs, learning how a system functions, and solving novel problems.Able to communicate perfectly in English, both verbally and in writing.Keeping up-to-date and experienced with industry practices and systems.Minimum of 5 years relevant programming experience.Who We Are:We are Canada's largest online auction platform with 2 of the largest market places; icollector.com and liveauctionworld.com.Liveauctiongroup.com, one of the foremost boutique online auction service providers, is run by an independent company focused on bringing the auction industry key specialized technology. Our business is to grow auctioneers' businesses by bringing it online and equipping it with the tools and services it needs.Why you should apply:Excellent compensation packages.Medical, dental and other benefits.Work with a variety of leading-edge technologies.Progressive management and agile teams.Company sponsored training and development.Company sponsored events and team building activities.Our people and cultureWork with amazing, talented people around the globe, every dayWe support flexible schedules and work-life balanceWe reward hard work and innovationWe encourage initiative and business creativityWe celebrate and share our successesPlease email your resume and a cover letter outlining how your past experience/knowledge is a fit for the position.COVID-19 considerations: Sanitization routine, masks when not seated at desk, desk separationJob Types: Full-time, PermanentSalary: $80,000.00-$100,000.00 per yearBenefits:Company eventsDental careExtended health careFlexible scheduleOn-site parkingWork from homeSchedule:8 hour shiftWork remotely:Yes",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFKls1i28a9ePkgPR3N-rsIWqyShuzLKl3mOGhq5hThzqBvDDmhY2meKCaCHUxOIKzDaMWPtXuzjsWk_gvi5pYLh8rKX4Eh6dC_okowmZoOTIjccin0ci-wNH-GLPYqtkAMvkoD5iuc_IEv_YBY8j29COhNVlj1FtlNHc4RD9LMRzrsFFokOOp84oRxKY_LDbmkXqf7hQ6oC7ZnP6afrjbetdzYPaqHUurHOM759e9FbrLIaBRFSHytY4Wh86AdDSRzndB5a6kkMkdQ1FPWvt49kMasZSfcOWI81o4SCapjSIaq6D-q5j-XC7Cg_ULUpv63Ql9CMb6GSh9V5cfysY0aNe40YhJdIBiRAclIKyFseHD349sDatK79eigHk3LtgyNasZZ_qBsJbt7Z76p9LedK4Lsf4rCcGwEJk9yADtg4ax6OyiLf82wcKzuFUtDDgwwHgj0xPrAXUL00-_JVUZfnMIQGhk7lzhyuJtSEsRIu-gF-KabDm&p=1&fvj=1&vjs=3
Software Developer,"DataDocksVancouver, BCRemote","You're looking to work for an exciting company, right? Are you looking for the opportunity to grow your skill set and work on something different every day? If you're looking for something that is fast-paced and high growth, but aren’t looking to be burned out after the first day? I’m guessing you would also like to have your voice heard and have input on feature design and future road maps?If this sounds like something you may be interested in…Come and check out what we can offer you at DataDocks!* This is a remote position, even after this pandemic. We are looking for anyone located in Canada* Be immersed in a fast-paced industry with globally known clients (Pepsi, HelloFresh, United…)* Use new languages as well as battle tested. You get to work with both OOP and functional languages!* There is a lot of room for growth and opportunities within DataDocks. If you are interested in a certain part of the business, we will provide you with the tools or resources necessary to get you where you want to be* We are always looking for new and creative ways to solve problems within the company and in our software. Meaning your thoughts and ideas count to the company* Lastly, we work together, but will give you the autonomy throughout your day to get stuff done.Who is DataDocks?DataDocks is a fast-growing software company that was founded in 2013. In our 7+ years of experience, we've hit fantastic growth cycles, partnered with large well-known companies like HelloFresh and Pepsi, and are looking to hire for the role of developer.DataDocks is a SaaS that serves the supply chain/logistics. We currently service large logistical brands that you're already familiar with like HelloFresh, Pepsi and United to name a few. DataDocks’ goal is to improve the communication and organization within logistic departments. We focus on an easy-to-use, lightweight platform that allows booking of trucks in and out of facilities. To break it down, we work in an old industry – logistics - and bring a fresh new way of improving how companies book appointments. Our application improves our customers’ day to day lives.What you will be doingYou will be working very closely with the founder and development team, primarily focusing on improving our platform. Your day to day will be very dynamic - our focus is to find out what you enjoy and are good at and allow you the opportunity to shine! You will have a voice in the company and have the opportunity to help sculpt where we go!Ideal candidateYou're interested in making a difference and helping to solve problems for peopleYou're a self-starter, looking to take the ball and run with itYou're looking to join a small team and not looking for the corporate worldYou have great verbal and written communication skillsYou're extremely organized and reliableSkillsExperience with Ruby on Rails requiredExperience with Elm or some sort of functional programming is an asset (not required)Experience with Postgres/PG functions/SQL is an assetIntermediate or Senior developerJob Type: Full-timeSalary: $70,078.00-$95,470.00 per yearApplication question(s):How many years have you been developing for?How many years have you been developing in Ruby for?Work remotely:Yes",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DkLhwo_IKDJO-N6DgE10PlsM7KQvqukpEvxMp_lM2de8kuCoyARHSOfutPGaSAyy_cM3GLzv7KWJhN4muUaRxSqFd3hn7UsB1OBoBpG_Zk5ddviUjl-Ky75iH2f7eFvQxnS4lFLVphL6nLF8sKCye4a8_phHXaOzljFc4vH77O2nJBPf14ft8l07XT1ZrZ7o4k1yzmbtL0J3YkYWhDnIbeOQORilqrhltTKJ6I6LOVCIZ7I4xR2tL1aU-Y0QXs16IgAMUt2UXYVwP_g2Ubw-gZQLFgRQEImcyP2a7A3vJMkAi5lOZ_ltqfx9JxCl60zW3hJWTDqvAL2NO8yA71SFQlt_J2yTYIMaDjAMNc6U3jhDaged15zTL4WStv9uLJaN70NbXNze0hWoE-MsSXHYdipxfZwcWBogUR8cj2l3vSeGdx0a0ejqsdUeOQD8pRu9PhUzDrs8niRRmWk6rjloxiqSDjAR9R_VGEa3t5KOKlPg==&p=2&fvj=1&vjs=3
Junior Software Developer,Cold Bore Technology2 reviewsRemoteRemote,"Who We Are:
Cold Bore Technology is a global leader in providing autonomous frac and is currently being sought after by all the major producers.
Cold Bore’s SmartPAD™ is the first and only completions master control system and is providing the infrastructure for bi-directional communication between all services on-site. Sharing data throughout the entire site and tracking the operation through sensor-based wellheads establishes a single timestamp, which is the only way to achieve fully autonomous completions.
Through the consolidation of digital data sources with SmartPAD™, Cold Bore provides operators with analytics in real-time allowing them to make informed decisions from their site or remotely.
Role Description:
Cold Bore Technology is seeking a Junior Software Developer to join our growing Software team. Reporting to the Software Development Manager, you will be responsible for performing quality assurance on Cold Bore’s application, developing automated quality testing, and maintaining software quality standards. Working in a fast-paced team environment, this role requires a self-motivated individual with a high degree of collaboration and innovation. Come work with a ground-breaking and result-driven team determined to transform the Oil & Gas Industry through technology!
Responsibilities:
Play a key role in the Asset Tracking Application project.
Perform QA on the application, exercising new functionality and regression testing existing functionality.
Develop automated tests to guard the quality of the application.
Create detailed, comprehensive, and well-structured test cases.
Participate in agile development, including estimating effort and complexity of new features and tasks.
Collaborate with senior engineers to produce robust and maintainable code, following software team quality standards.
Take on and deliver medium-sized features from conception to production.
Help operate Cold Bore’s edge platform (embedded systems, IIoT).
Help operate Cold Bore’s cloud platform (cloud app and API) with a Site Reliability Engineering approach.
Requirements:
Minimum of 1+ years of hands-on software development.
Knowledge of software QA methodologies, tools and processes is considered an asset.
Experience
Experience with object-oriented design principles and best practices.
Experience using Database software.
Experience with the following programming languages: C#, SQL, Python
Proficient in HTML/CSS/JavaScript.
Working experience with an industry web framework (React or Angular).
Experience writing automated test code (unit tests, integration tests, etc.).
Comfortable working in Unix terminal environments.
Hands-on contributor – you enjoy writing code, solving complex problems and being in the trenches.
Desire to learn and improve through constructive feedback.
Ability to develop independently with support from more senior team members.
Conscientious and results-oriented individual who goes above and beyond to meet their commitments.
Excellent analytical and troubleshooting skills.
Team player who thrives in a fast-paced, collaborative environment.
Cold Bore is looking for people who are flexible and can work effectively and collaboratively with a rockstar team. Attitude is everything!
uRdKwjksni",https://ca.indeed.com/rc/clk?jk=a40d81e727d0189b&fccid=13646df966bbe267&vjs=3
Remote Training- Canada - Junior Software Developer,FDM Group151 reviewsCanadaRemote,"Find out about FDM’s Coronavirus (COVID-19) preparations here.
Note: Please only submit one application, even if you are interested in more than one opportunity. A recruiter will speak to you about all options available after we review your application. Please note this role is part of our graduate program.
-
Our people are our passion at FDM. That’s why we make your training and career growth a priority. Since 2014, we have launched the careers of over 1,000 junior software developers in Canada. FDM is currently seeking numerous ambitious and driven candidates with the aptitude for IT to work as FDM consultants. We help people like you make their first step into tech every day. Are you ready to make yours?
About This Role
As a Junior Software Developer with FDM, you will undergo industry specific training and continue your career journey as an FDM consultant by working for one of our globally recognized clients. Some common positions you could take on include Front-end Developer, Back-end Developer, Full Stack Developer, DevOps Engineer and more.
As a Software Developer your main role will be to solve problems, upgrade existing systems and improve efficiency for the overall success of large software development projects. You will use your coding and creative thinking skills to impact the development and delivery of technological solutions for businesses. Your range of responsibilities will include writing, developing, testing and reviewing code in order to optimize existing applications and fixing defects.
This position is ideal for final year students hoping to secure an entry-level job upon graduation. No previous qualifications or STEM Field experience is required.
Minimum Qualifications
Degree or Diploma (preferably in Computer Science, Engineering, Mathematics, or similar)
A natural aptitude for technology and a strong desire to expand your technical skill set.
Exposure or familiarity with one or more programming languages (Python, JavaScript, Java, C, C++, C#).
Exposure to one or more operating systems (Microsoft, Linux).
Understanding of database and SQL.
Able to commit to work for FDM for a minimum of two years working as an FDM consultant following the training period.
Eligible to work in Canada.
Benefits
A chance to work for some of the most prestigious companies in the world.
Opportunity to earn professional certifications related to your career path.
Two-year contract in industry.
Continuous career support and upskilling from FDM.
Comprehensive and competitive benefits package.
Access to a network of mentors and like-minded individuals.
Industry recognized paid training.
About the FDM Career Development Program
FDM’s Career Development Program is a great way for students to enter the job market upon graduation. At FDM, we train the brightest talent to become the innovators of tomorrow. Technology makes the world a better place and we believe passion, drive and curiosity are what you need to have a successful career in tech. This is why we do not require any previous experience to join FDM’s Career Development Program.
FDM’s two-year program begins with training in one of our career streams in business and technology that are in high demand in the job market. We will provide you with the industry-specific technical and professional skills you need in your chosen stream, after which you will start working as an FDM Consultant with our globally recognized clients.
Upon completion of the program, many graduates see their journey with FDM culminating in an accelerated career progression, better placing them to apply for senior roles within the industry.
Diversity and Inclusion
Diversity and inclusion are at the heart of what we value as an organization. FDM is a globally recognized organization with centers across seventeen countries globally. We are proud to celebrate our employee backgrounds consisting over 85 nationalities.
FDM Group is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status or any other status protected by federal, provincial or local laws.
#INDFDM",https://ca.indeed.com/rc/clk?jk=39300001059fc63e&fccid=2525ee368b671cd8&vjs=3
Software Developer,"EnvirosoftEnvirosoft in Calgary, ABTemporarily remote","Envirosoft is a leading provider of environmental and regulatory software solutions. We help protect the environment by providing software/consulting services and creating tools to track, monitor and report on emissions. Management of these emissions is both revolutionary and works to promote a healthy world with accountability. We have a strong reputation in the industry as top providers of solutions that help businesses do their work.What you will doAs a Software Developer, you will be asked to work independently and as part of a small team on Envirosoft’s SaaS products. The successful candidate will work collaboratively with the product team to produce high quality code based on the requirements.Produce clean, maintainable, and scalable code using design patterns and best practicesPlay a key role in the implementation of our ambitious product roadmapActively participate in stand-ups and Scrum activitiesRecognize opportunities to improve performance, efficiency, and quality of the softwareContribute to the design and development of new features as well as maintenance and bug fixesQualificationsBachelor’s degree in Computer Science or related field, or equivalent experience3+ years of experience with at least one object-oriented language. Java preferredExpert knowledge of algorithms, data structures, object-oriented design principles and core programming conceptsExperience with SQL queriesExperience implementing and consuming RESTful web services would be considered an assetExperience with JavaScript / React would be considered an assetExperience with AI / ML would be considered an assetWhen you work at EnvirosoftYou’ll have the opportunity to go to work and change the world – helping leading oil and gas companies accelerate GHG emissions reductions through robust accounting, reporting, and analysisYou’ll join a high-performing, purpose-driven team that is driving measurable change to address climate challengesYou’ll advance your skills and take advantage of career growth opportunitiesYou’ll enjoy benefits from day 1 and access to employee investment programs through our parent companyEnvirosoft Corporation is part of the Constellation Software Inc. family of companies. Constellation Software Inc. is publicly traded on the Toronto Stock Exchange (TSX) under CSU. For further information, please visit our website at http://www.envirosoft.com/Job Types: Full-time, PermanentBenefits:Casual dressDental careEmployee stock purchase planExtended health careOn-site gymVision careWork from homeSchedule:Monday to FridayWork remotely:Temporarily due to COVID-19",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUEZ2dJDE09oCKmNA0B49zG9DNQOT8FxmZYwRzRaucIOMRX1oXiLwAxBPZVzn7SrTAljKAr7PDuZjxALJ2Ldu9NwPwsZ7t1eZjKkL1VLQMVA__G3rfn-4afQYfboqax-orVRWe1vjB9s2MNZBEoKpQOMEP4_B2eif2lVblVY0mTZY0kiSyScpv0r9ZrI-tvm_nIpolA3-kmry-_Q591MET0mD2gO36bwS5QluXXedzolUd_pp6UpKrWmcWup7m1eP3Ev4p34MQ9qsHaEImitYHaWhKTr6LNiD1M8e3nPndmd_27evjF0eL8ZQfklSX84cxDEB3X6M8ervuJ7jMrox_wnLDY6qfiKId8dMv9EtsexqmQftZKFt1bbtOw5cIGOga6MGTVMbogUHGVTzGRKYSg1FpRLqIMQm3sqmCwwUsRZrML6tVIHdoQAhdJgSR0QpHeFrwUzozIbVGWUZKOI0L5uMmMCDZUDEGUkjZXPYZLQ==&p=5&fvj=1&vjs=3
Full Stack Developer (Entry Level),Marlabs Inc.Remote,"Are you a recent graduate looking to launch your career in programming?

Marlabs Inc. is an award-winning Digital Services provider with dedicated industry practices in the banking and financial services, healthcare, media, and legal sectors. We are over 3000 strong workforces and have a proven global delivery model with dedicated training and development centers in the US, Canada, Germany, Brazil, and India ensuring that our employees stay current on industry and technology trends.

We are currently hiring graduate students for Entry/Mid-Level opportunities.

Candidates must have:
Strong knowledge of Object-Oriented Programming concepts.
Strong knowledge of Database concepts.
Basic programming knowledge of Javascript, HTML, CSS.
Angular or React is preferred.
Excellent communication skills.
Willingness to learn new technologies.
Masters or bachelor's degree in a related area.

Job Type: Full-time.
Work Remotely: No.",https://ca.indeed.com/rc/clk?jk=17ba7c76a1e30717&fccid=0259f432d098ee82&vjs=3
Software Developer Intern,"3Common Inc.Winnipeg, MBRemote","Company descriptionSocial scheduling and group purchasing applicationJob descriptionSoftware developer proficient in react nativeContract length: 4 monthsJob Types: Full-time, Part-time, InternshipSalary: Up to $24,000.00 per yearSchedule:On callWork remotely:Yes",https://ca.indeed.com/company/3Common-Inc./jobs/Software-Developer-Intern-97b06c0aaedc64d7?fccid=845e2f66dad2c941&vjs=3
Junior Web Developer - Internship & Training,"Prepr8 reviewsToronto, ONRemote","Would you like a great developer job? Do you need to enhance your work readiness? Would you like valuable training to enhance your existing coding skills - skills such as understanding user experience design, product development, agile project management, and Jira? If you answered yes to any of these questions, we invite you to launch your career with the Flexible Upskiling Network (F.U.N) program.Apply today: https://prepr.typeform.com/to/rlfM01GwAbout the F.U.N ProgramThe F.U.N. program is a blended learning program designed by Prepr to support youth who face employment barriers by giving them highly desirable skills, including employability skills, digital skills as well as Prepr’s signature PIE method (project leadership, innovation & entrepreneurship) for interdisciplinary problem-solving.What makes the F.U.N program even better is that you will be matched with a potential employer in Ontario at the end of your training, and have the opportunity to complete a 12 week paid work placement.Job descriptionWe are looking for youth with education or experience in web development, coding, data science and/or technical support. If offered a job placement, you will be responsible for constructing, and maintaining websites, following technical and planning documentation, performing front-end and/or back-end development tasks, manipulating Photoshop documents and other art assets for development use as needed, assisting in QA as needed, following implementation instructions for SEO best practices, and helping with basic administrative work.Here's what past program graduates had to say about their experience:“I feel like I will be more effective in a cross-functional capacity now. It was a really good learning experience for me, and I gained skills that I can take with me… It has really helped me.”“The program has helped me focus on what I want to do after this. I’ve decided that I want to combine my dev experience with UX. Now I have to decide whether I need more education in this area before I can get the job I want, but with this foundation, I’m quite sure that I can develop this skill on the job.”EligibilityYou are between 15 and 29 years of ageYou are a resident of OntarioYou are able to commit for the duration of the programIndividuals from black communities, indigenous communities, visible minorities, persons with disabilities and women are encouraged to applyYou have either studied or have experience in design, information technology (coding/ computing etc.), marketing or businessComplete the first part of the application here for evaluation: https://prepr.typeform.com/to/rlfM01GwAbout our Company: Prepr promotes open education and open innovation globally. Through our PIE™ Program we help individuals, teams & businesses develop core skills in Project Leadership, Innovation, and Entrepreneurship.Job Types: Full-time, InternshipSalary: From $15.00 per hourBenefits:Tuition reimbursementSchedule:Monday to FridayCOVID-19 considerations:Yes, virtual training and work.Work remotely:Yes",https://ca.indeed.com/company/Prepr/jobs/Junior-Web-Developer-b8b4400951b900bc?fccid=24082777b27d1326&vjs=3
Software Developer Internship - May 2022,Replicon8 reviewsRemoteRemote,"Replicon is looking for Software Developer Interns who are passionate about coding and technology to work on our Time Intelligence platform. Our SaaS application is used globally by thousands of customers and millions of users. We want to build out our team with more engineers who are also passionate about building great applications and care about giving our customers a great user experience.What you need to bring: Aptitude in software development fundamentalsPrevious experience with web development or a strong desire to ramp up quickly on it (React, Node JS),A pragmatic viewpoint to deliver the simplest technical solution that meets the requirements, and not to use technology for the sake of itAn openness to write code that conforms to the best practices and policies of a large software organization, not just your personal preferencesA desire to take ownership and pride in everything you do and stand by what you deliverReadiness to hit the ground running – you may not know how to solve everything right off the bat, but you will put in the time and effort to understand so that you canDuration: The internship will be for a period of 12 or 16 months.Educational Requirements: Co-op or internship program enrollment is mandatoryCurrently enrolled in a bachelor’s degree in Computer Science, Software Engineering, or related fieldWhat you will learn: Coding across the entire stack – UI, Services and DataUnit testing, test-driven development and test automation engineering in a real-world SaaS environmentInfrastructure as a Service (IaaS) using Amazon Web Services (AWS)A technology toolbelt that includes leading edge languages and tools with knowledge on when and why to use themHow to work as an individual contributor on a large software teamHow an SDLC (software development life cycle) works in industry and scales to large teams releasing multiple interrelated software component multiple times per dayHow to get your code into production to be used by real customersHow to adopt industry best practices in all of your projects - TDD (test driven development), CI/CD (continuous integration and continuous delivery), IaC (Infrastructure as Code), linting, static code analysisSoftware and system architecture best practices, such as a microservice architecture and serverless computing, that allows a complex business application to scale to millions of users in a cost-effective mannerHow we work: An agile development environment delivering software features to production every dayTeam lunches, team events, flexible work environmentA relentless desire to continuously improveAbout Replicon: Replicon, the Time Intelligence company, is a pioneer in the industry offering award-winning cloud-based solutions for enterprise time, project and resource management.Replicon’s innovative Polaris product line introduces the world’s first self-driving solutions for Professional Services Automation and Project Portfolio Management, helping project-driven enterprises deliver increased revenue and profitability. A team of over 500 employees supports thousands of customers around the globe including PwC, Siemens, FedEx, NTT, Expedia, Moody’s, SAS, Facebook, and Hyatt.Job Type: Full-time",https://ca.indeed.com/company/Replicon/jobs/Software-Developer-Internship-fd455a4b6b5942e3?fccid=a292f3c3173416ca&vjs=3
